Vftable	Methods	Flags	Type	Hierarchy
014CB4E8	3		SGF::SystemManager::TSystemAutoCreator<BuildingUISystem>	SGF::SystemManager::TSystemAutoCreator<BuildingUISystem>: SGF::SystemManager::ISystemAutoCreator;
014CB4D4	3		SGF::SystemManager::TSystemAutoCreator<BossDragonSystem>	SGF::SystemManager::TSystemAutoCreator<BossDragonSystem>: SGF::SystemManager::ISystemAutoCreator;
014CB4C0	3		SGF::SystemManager::TSystemAutoCreator<BookSystem>	SGF::SystemManager::TSystemAutoCreator<BookSystem>: SGF::SystemManager::ISystemAutoCreator;
014CB498	3		SGF::SystemManager::TSystemAutoCreator<BlackHoleSystem>	SGF::SystemManager::TSystemAutoCreator<BlackHoleSystem>: SGF::SystemManager::ISystemAutoCreator;
014CB420	3		SGF::SystemManager::TSystemAutoCreator<AudioSystem>	SGF::SystemManager::TSystemAutoCreator<AudioSystem>: SGF::SystemManager::ISystemAutoCreator;
014CB434	3		SGF::SystemManager::TSystemAutoCreator<AudioLoopSystem>	SGF::SystemManager::TSystemAutoCreator<AudioLoopSystem>: SGF::SystemManager::ISystemAutoCreator;
014CB484	3		SGF::SystemManager::TSystemAutoCreator<AudioListenerSystem>	SGF::SystemManager::TSystemAutoCreator<AudioListenerSystem>: SGF::SystemManager::ISystemAutoCreator;
014CB470	3		SGF::SystemManager::TSystemAutoCreator<AreaDamageSystem>	SGF::SystemManager::TSystemAutoCreator<AreaDamageSystem>: SGF::SystemManager::ISystemAutoCreator;
014CB448	3		SGF::SystemManager::TSystemAutoCreator<ArcSystem>	SGF::SystemManager::TSystemAutoCreator<ArcSystem>: SGF::SystemManager::ISystemAutoCreator;
014CB2E8	3		SGF::SystemManager::TSystemAutoCreator<AnimalAISystem>	SGF::SystemManager::TSystemAutoCreator<AnimalAISystem>: SGF::SystemManager::ISystemAutoCreator;
014CB2D4	3		SGF::SystemManager::TSystemAutoCreator<AltarSystem>	SGF::SystemManager::TSystemAutoCreator<AltarSystem>: SGF::SystemManager::ISystemAutoCreator;
014CB298	3		SGF::SystemManager::TSystemAutoCreator<AdvancedFishAISystem>	SGF::SystemManager::TSystemAutoCreator<AdvancedFishAISystem>: SGF::SystemManager::ISystemAutoCreator;
014CB07C	3		SGF::SystemManager::TSystemAutoCreator<AbilitySystem>	SGF::SystemManager::TSystemAutoCreator<AbilitySystem>: SGF::SystemManager::ISystemAutoCreator;
014CB2AC	3		SGF::SystemManager::TSystemAutoCreator<AISystem>	SGF::SystemManager::TSystemAutoCreator<AISystem>: SGF::SystemManager::ISystemAutoCreator;
014CB2C0	3		SGF::SystemManager::TSystemAutoCreator<AIAttackSystem>	SGF::SystemManager::TSystemAutoCreator<AIAttackSystem>: SGF::SystemManager::ISystemAutoCreator;
01498170	3		SGF::SystemManager::ISystemAutoCreator	SGF::SystemManager::ISystemAutoCreator: 
01498160	2		SGF::IEventListener	SGF::IEventListener: 
014D369C	1		SGF::EventManager	SGF::EventManager: 
014D36B4	1		SGF::EntityManager	SGF::EntityManager: MessageSender;
01498130	9		SGF::ComponentUpdatorBase	SGF::ComponentUpdatorBase: 
014980E8	14		SGF::ComponentBufferBase	SGF::ComponentBufferBase: 
014C9150	15		SGF::ComponentBuffer<WormPlayerComponent>	SGF::ComponentBuffer<WormPlayerComponent>: SGF::ComponentBufferBase;
014C90B8	15		SGF::ComponentBuffer<WormComponent>	SGF::ComponentBuffer<WormComponent>: SGF::ComponentBufferBase;
014C9104	15		SGF::ComponentBuffer<WormAIComponent>	SGF::ComponentBuffer<WormAIComponent>: SGF::ComponentBufferBase;
014C7BEC	15		SGF::ComponentBuffer<WorldStateComponent>	SGF::ComponentBuffer<WorldStateComponent>: SGF::ComponentBufferBase;
014C8F3C	15		SGF::ComponentBuffer<WalletValuableComponent>	SGF::ComponentBuffer<WalletValuableComponent>: SGF::ComponentBufferBase;
014C8EF0	15		SGF::ComponentBuffer<WalletComponent>	SGF::ComponentBuffer<WalletComponent>: SGF::ComponentBufferBase;
014C906C	15		SGF::ComponentBuffer<VerletWorldJointComponent>	SGF::ComponentBuffer<VerletWorldJointComponent>: SGF::ComponentBufferBase;
014C9020	15		SGF::ComponentBuffer<VerletWeaponComponent>	SGF::ComponentBuffer<VerletWeaponComponent>: SGF::ComponentBufferBase;
014C5BF8	15		SGF::ComponentBuffer<VerletPhysicsComponent>	SGF::ComponentBuffer<VerletPhysicsComponent>: SGF::ComponentBufferBase;
014C8FD4	15		SGF::ComponentBuffer<VelocityComponent>	SGF::ComponentBuffer<VelocityComponent>: SGF::ComponentBufferBase;
014ED9F4	15		SGF::ComponentBuffer<VegetationComponent>	SGF::ComponentBuffer<VegetationComponent>: SGF::ComponentBufferBase;
014C8F88	15		SGF::ComponentBuffer<VariableStorageComponent>	SGF::ComponentBuffer<VariableStorageComponent>: SGF::ComponentBufferBase;
014C8EA4	15		SGF::ComponentBuffer<UIInfoComponent>	SGF::ComponentBuffer<UIInfoComponent>: SGF::ComponentBufferBase;
014C8E58	15		SGF::ComponentBuffer<UIIconComponent>	SGF::ComponentBuffer<UIIconComponent>: SGF::ComponentBufferBase;
014C8E0C	15		SGF::ComponentBuffer<TorchComponent>	SGF::ComponentBuffer<TorchComponent>: SGF::ComponentBufferBase;
014C7FCC	15		SGF::ComponentBuffer<TextLogComponent>	SGF::ComponentBuffer<TextLogComponent>: SGF::ComponentBufferBase;
014C8DC0	15		SGF::ComponentBuffer<TeleportProjectileComponent>	SGF::ComponentBuffer<TeleportProjectileComponent>: SGF::ComponentBufferBase;
014C8D74	15		SGF::ComponentBuffer<TeleportComponent>	SGF::ComponentBuffer<TeleportComponent>: SGF::ComponentBufferBase;
014C8D28	15		SGF::ComponentBuffer<StreamingKeepAliveComponent>	SGF::ComponentBuffer<StreamingKeepAliveComponent>: SGF::ComponentBufferBase;
014C74CC	15		SGF::ComponentBuffer<StatusEffectDataComponent>	SGF::ComponentBuffer<StatusEffectDataComponent>: SGF::ComponentBufferBase;
014C8524	15		SGF::ComponentBuffer<SpriteStainsComponent>	SGF::ComponentBuffer<SpriteStainsComponent>: SGF::ComponentBufferBase;
014C8CDC	15		SGF::ComponentBuffer<SpriteParticleEmitterComponent>	SGF::ComponentBuffer<SpriteParticleEmitterComponent>: SGF::ComponentBufferBase;
014C8C90	15		SGF::ComponentBuffer<SpriteOffsetAnimatorComponent>	SGF::ComponentBuffer<SpriteOffsetAnimatorComponent>: SGF::ComponentBufferBase;
014C69D4	15		SGF::ComponentBuffer<SpriteComponent>	SGF::ComponentBuffer<SpriteComponent>: SGF::ComponentBufferBase;
014C6D68	15		SGF::ComponentBuffer<SpriteAnimatorComponent>	SGF::ComponentBuffer<SpriteAnimatorComponent>: SGF::ComponentBufferBase;
014C8C44	15		SGF::ComponentBuffer<SineWaveComponent>	SGF::ComponentBuffer<SineWaveComponent>: SGF::ComponentBufferBase;
014C8BF8	15		SGF::ComponentBuffer<SimplePhysicsComponent>	SGF::ComponentBuffer<SimplePhysicsComponent>: SGF::ComponentBufferBase;
014CB840	15		SGF::ComponentBuffer<ShotEffectComponent>	SGF::ComponentBuffer<ShotEffectComponent>: SGF::ComponentBufferBase;
014C8BAC	15		SGF::ComponentBuffer<SetStartVelocityComponent>	SGF::ComponentBuffer<SetStartVelocityComponent>: SGF::ComponentBufferBase;
014C8B60	15		SGF::ComponentBuffer<SetLightAlphaFromVelocityComponent>	SGF::ComponentBuffer<SetLightAlphaFromVelocityComponent>: SGF::ComponentBufferBase;
014C8B14	15		SGF::ComponentBuffer<RotateTowardsComponent>	SGF::ComponentBuffer<RotateTowardsComponent>: SGF::ComponentBufferBase;
014C8AC8	15		SGF::ComponentBuffer<RainEmitterComponent>	SGF::ComponentBuffer<RainEmitterComponent>: SGF::ComponentBufferBase;
014C693C	15		SGF::ComponentBuffer<ProjectileComponent>	SGF::ComponentBuffer<ProjectileComponent>: SGF::ComponentBufferBase;
014C8A7C	15		SGF::ComponentBuffer<PressurePlateComponent>	SGF::ComponentBuffer<PressurePlateComponent>: SGF::ComponentBufferBase;
014C8A30	15		SGF::ComponentBuffer<PotionComponent>	SGF::ComponentBuffer<PotionComponent>: SGF::ComponentBufferBase;
014C89E4	15		SGF::ComponentBuffer<PositionSeedComponent>	SGF::ComponentBuffer<PositionSeedComponent>: SGF::ComponentBufferBase;
014CB59C	15		SGF::ComponentBuffer<PlayerStatsComponent>	SGF::ComponentBuffer<PlayerStatsComponent>: SGF::ComponentBufferBase;
014C8998	15		SGF::ComponentBuffer<PlayerCollisionComponent>	SGF::ComponentBuffer<PlayerCollisionComponent>: SGF::ComponentBufferBase;
014C894C	15		SGF::ComponentBuffer<PlatformShooterPlayerComponent>	SGF::ComponentBuffer<PlatformShooterPlayerComponent>: SGF::ComponentBufferBase;
014C8900	15		SGF::ComponentBuffer<PixelSpriteComponent>	SGF::ComponentBuffer<PixelSpriteComponent>: SGF::ComponentBufferBase;
014C88B4	15		SGF::ComponentBuffer<PixelSceneComponent>	SGF::ComponentBuffer<PixelSceneComponent>: SGF::ComponentBufferBase;
014C6E4C	15		SGF::ComponentBuffer<PhysicsThrowableComponent>	SGF::ComponentBuffer<PhysicsThrowableComponent>: SGF::ComponentBufferBase;
014CBB5C	15		SGF::ComponentBuffer<PhysicsShapeComponent>	SGF::ComponentBuffer<PhysicsShapeComponent>: SGF::ComponentBufferBase;
014C7480	15		SGF::ComponentBuffer<PhysicsRagdollComponent>	SGF::ComponentBuffer<PhysicsRagdollComponent>: SGF::ComponentBufferBase;
014C8868	15		SGF::ComponentBuffer<PhysicsPickUpComponent>	SGF::ComponentBuffer<PhysicsPickUpComponent>: SGF::ComponentBufferBase;
014C881C	15		SGF::ComponentBuffer<PhysicsJointComponent>	SGF::ComponentBuffer<PhysicsJointComponent>: SGF::ComponentBufferBase;
014CB348	15		SGF::ComponentBuffer<PhysicsImageShapeComponent>	SGF::ComponentBuffer<PhysicsImageShapeComponent>: SGF::ComponentBufferBase;
014C14F4	15		SGF::ComponentBuffer<PhysicsBodyComponent>	SGF::ComponentBuffer<PhysicsBodyComponent>: SGF::ComponentBufferBase;
014C87D0	15		SGF::ComponentBuffer<PhysicsBodyCollisionDamageComponent>	SGF::ComponentBuffer<PhysicsBodyCollisionDamageComponent>: SGF::ComponentBufferBase;
014C8784	15		SGF::ComponentBuffer<PhysicsAIComponent>	SGF::ComponentBuffer<PhysicsAIComponent>: SGF::ComponentBufferBase;
014C8738	15		SGF::ComponentBuffer<PathFindingGridMarkerComponent>	SGF::ComponentBuffer<PathFindingGridMarkerComponent>: SGF::ComponentBufferBase;
014C86EC	15		SGF::ComponentBuffer<PathFindingComponent>	SGF::ComponentBuffer<PathFindingComponent>: SGF::ComponentBufferBase;
014C72B8	15		SGF::ComponentBuffer<ParticleEmitterComponent>	SGF::ComponentBuffer<ParticleEmitterComponent>: SGF::ComponentBufferBase;
014C8064	15		SGF::ComponentBuffer<OrbComponent>	SGF::ComponentBuffer<OrbComponent>: SGF::ComponentBufferBase;
014C86A0	15		SGF::ComponentBuffer<NinjaRopeComponent>	SGF::ComponentBuffer<NinjaRopeComponent>: SGF::ComponentBufferBase;
014C8654	15		SGF::ComponentBuffer<MusicEnergyAffectorComponent>	SGF::ComponentBuffer<MusicEnergyAffectorComponent>: SGF::ComponentBufferBase;
014C8608	15		SGF::ComponentBuffer<MoveToSurfaceOnCreateComponent>	SGF::ComponentBuffer<MoveToSurfaceOnCreateComponent>: SGF::ComponentBufferBase;
014C85BC	15		SGF::ComponentBuffer<MaterialSuckerComponent>	SGF::ComponentBuffer<MaterialSuckerComponent>: SGF::ComponentBufferBase;
014C8570	15		SGF::ComponentBuffer<MaterialSeaSpawnerComponent>	SGF::ComponentBuffer<MaterialSeaSpawnerComponent>: SGF::ComponentBufferBase;
014C7F0C	15		SGF::ComponentBuffer<MaterialInventoryComponent>	SGF::ComponentBuffer<MaterialInventoryComponent>: SGF::ComponentBufferBase;
014ED9A8	15		SGF::ComponentBuffer<MaterialComponent>	SGF::ComponentBuffer<MaterialComponent>: SGF::ComponentBufferBase;
014C84D8	15		SGF::ComponentBuffer<MaterialAreaCheckerComponent>	SGF::ComponentBuffer<MaterialAreaCheckerComponent>: SGF::ComponentBufferBase;
014C848C	15		SGF::ComponentBuffer<ManaReloaderComponent>	SGF::ComponentBuffer<ManaReloaderComponent>: SGF::ComponentBufferBase;
014C8440	15		SGF::ComponentBuffer<MagicXRayComponent>	SGF::ComponentBuffer<MagicXRayComponent>: SGF::ComponentBufferBase;
014C83F4	15		SGF::ComponentBuffer<MagicConvertMaterialComponent>	SGF::ComponentBuffer<MagicConvertMaterialComponent>: SGF::ComponentBufferBase;
014C78F4	15		SGF::ComponentBuffer<LuaComponent>	SGF::ComponentBuffer<LuaComponent>: SGF::ComponentBufferBase;
014C83A8	15		SGF::ComponentBuffer<LooseGroundComponent>	SGF::ComponentBuffer<LooseGroundComponent>: SGF::ComponentBufferBase;
014C835C	15		SGF::ComponentBuffer<LocationMarkerComponent>	SGF::ComponentBuffer<LocationMarkerComponent>: SGF::ComponentBufferBase;
014C8310	15		SGF::ComponentBuffer<LoadEntitiesComponent>	SGF::ComponentBuffer<LoadEntitiesComponent>: SGF::ComponentBufferBase;
014C82C4	15		SGF::ComponentBuffer<LiquidDisplacerComponent>	SGF::ComponentBuffer<LiquidDisplacerComponent>: SGF::ComponentBufferBase;
014C8278	15		SGF::ComponentBuffer<LimbBossComponent>	SGF::ComponentBuffer<LimbBossComponent>: SGF::ComponentBufferBase;
014C6FA4	15		SGF::ComponentBuffer<LightningComponent>	SGF::ComponentBuffer<LightningComponent>: SGF::ComponentBufferBase;
014C6988	15		SGF::ComponentBuffer<LightComponent>	SGF::ComponentBuffer<LightComponent>: SGF::ComponentBufferBase;
014C822C	15		SGF::ComponentBuffer<LifetimeComponent>	SGF::ComponentBuffer<LifetimeComponent>: SGF::ComponentBufferBase;
014C81E0	15		SGF::ComponentBuffer<LevitationComponent>	SGF::ComponentBuffer<LevitationComponent>: SGF::ComponentBufferBase;
014C8194	15		SGF::ComponentBuffer<ItemStashComponent>	SGF::ComponentBuffer<ItemStashComponent>: SGF::ComponentBufferBase;
014C8148	15		SGF::ComponentBuffer<ItemRechargeNearGroundComponent>	SGF::ComponentBuffer<ItemRechargeNearGroundComponent>: SGF::ComponentBufferBase;
014C8018	15		SGF::ComponentBuffer<ItemPickUpperComponent>	SGF::ComponentBuffer<ItemPickUpperComponent>: SGF::ComponentBufferBase;
014C80FC	15		SGF::ComponentBuffer<ItemCostComponent>	SGF::ComponentBuffer<ItemCostComponent>: SGF::ComponentBufferBase;
014C6B04	15		SGF::ComponentBuffer<ItemComponent>	SGF::ComponentBuffer<ItemComponent>: SGF::ComponentBufferBase;
014C6AB8	15		SGF::ComponentBuffer<ItemChestComponent>	SGF::ComponentBuffer<ItemChestComponent>: SGF::ComponentBufferBase;
014C80B0	15		SGF::ComponentBuffer<ItemAlchemyComponent>	SGF::ComponentBuffer<ItemAlchemyComponent>: SGF::ComponentBufferBase;
014CB128	15		SGF::ComponentBuffer<ItemActionComponent>	SGF::ComponentBuffer<ItemActionComponent>: SGF::ComponentBufferBase;
014CB0DC	15		SGF::ComponentBuffer<ItemAIKnowledgeComponent>	SGF::ComponentBuffer<ItemAIKnowledgeComponent>: SGF::ComponentBufferBase;
014C78A8	15		SGF::ComponentBuffer<InventoryGuiComponent>	SGF::ComponentBuffer<InventoryGuiComponent>: SGF::ComponentBufferBase;
014CB174	15		SGF::ComponentBuffer<InventoryComponent>	SGF::ComponentBuffer<InventoryComponent>: SGF::ComponentBufferBase;
014C6E00	15		SGF::ComponentBuffer<Inventory2Component>	SGF::ComponentBuffer<Inventory2Component>: SGF::ComponentBufferBase;
014C7F58	15		SGF::ComponentBuffer<InheritTransformComponent>	SGF::ComponentBuffer<InheritTransformComponent>: SGF::ComponentBufferBase;
014C7EC0	15		SGF::ComponentBuffer<IngestionComponent>	SGF::ComponentBuffer<IngestionComponent>: SGF::ComponentBufferBase;
014C7E4C	15		SGF::ComponentBuffer<IKLimbWalkerComponent>	SGF::ComponentBuffer<IKLimbWalkerComponent>: SGF::ComponentBufferBase;
014C7DB4	15		SGF::ComponentBuffer<IKLimbComponent>	SGF::ComponentBuffer<IKLimbComponent>: SGF::ComponentBufferBase;
014C7E00	15		SGF::ComponentBuffer<IKLimbAttackerComponent>	SGF::ComponentBuffer<IKLimbAttackerComponent>: SGF::ComponentBufferBase;
014CB1FC	15		SGF::ComponentBuffer<HotspotComponent>	SGF::ComponentBuffer<HotspotComponent>: SGF::ComponentBufferBase;
014C7D68	15		SGF::ComponentBuffer<HomingComponent>	SGF::ComponentBuffer<HomingComponent>: SGF::ComponentBufferBase;
014C6A6C	15		SGF::ComponentBuffer<HitboxComponent>	SGF::ComponentBuffer<HitboxComponent>: SGF::ComponentBufferBase;
014C7D1C	15		SGF::ComponentBuffer<HitEffectComponent>	SGF::ComponentBuffer<HitEffectComponent>: SGF::ComponentBufferBase;
014C7CD0	15		SGF::ComponentBuffer<HealthBarComponent>	SGF::ComponentBuffer<HealthBarComponent>: SGF::ComponentBufferBase;
014C6A20	15		SGF::ComponentBuffer<GunComponent>	SGF::ComponentBuffer<GunComponent>: SGF::ComponentBufferBase;
014ED910	15		SGF::ComponentBuffer<GodInfoComponent>	SGF::ComponentBuffer<GodInfoComponent>: SGF::ComponentBufferBase;
014C7C84	15		SGF::ComponentBuffer<GhostComponent>	SGF::ComponentBuffer<GhostComponent>: SGF::ComponentBufferBase;
014CB090	15		SGF::ComponentBuffer<GenomeDataComponent>	SGF::ComponentBuffer<GenomeDataComponent>: SGF::ComponentBufferBase;
014C7C38	15		SGF::ComponentBuffer<GasBubbleComponent>	SGF::ComponentBuffer<GasBubbleComponent>: SGF::ComponentBufferBase;
014C7BA0	15		SGF::ComponentBuffer<GameStatsComponent>	SGF::ComponentBuffer<GameStatsComponent>: SGF::ComponentBufferBase;
014C7B54	15		SGF::ComponentBuffer<GameLogComponent>	SGF::ComponentBuffer<GameLogComponent>: SGF::ComponentBufferBase;
014C6DB4	15		SGF::ComponentBuffer<GameEffectComponent>	SGF::ComponentBuffer<GameEffectComponent>: SGF::ComponentBufferBase;
014C7B08	15		SGF::ComponentBuffer<GameAreaEffectComponent>	SGF::ComponentBuffer<GameAreaEffectComponent>: SGF::ComponentBufferBase;
014EDA40	15		SGF::ComponentBuffer<FossilComponent>	SGF::ComponentBuffer<FossilComponent>: SGF::ComponentBufferBase;
014ED95C	15		SGF::ComponentBuffer<FogOfWarRemoverComponent>	SGF::ComponentBuffer<FogOfWarRemoverComponent>: SGF::ComponentBufferBase;
014C7ABC	15		SGF::ComponentBuffer<FogOfWarRadiusComponent>	SGF::ComponentBuffer<FogOfWarRadiusComponent>: SGF::ComponentBufferBase;
014C7A70	15		SGF::ComponentBuffer<FlyingComponent>	SGF::ComponentBuffer<FlyingComponent>: SGF::ComponentBufferBase;
014C7A24	15		SGF::ComponentBuffer<FishAIComponent>	SGF::ComponentBuffer<FishAIComponent>: SGF::ComponentBufferBase;
014C79D8	15		SGF::ComponentBuffer<ExplosionComponent>	SGF::ComponentBuffer<ExplosionComponent>: SGF::ComponentBufferBase;
014C798C	15		SGF::ComponentBuffer<ExplodeOnDamageComponent>	SGF::ComponentBuffer<ExplodeOnDamageComponent>: SGF::ComponentBufferBase;
014C7940	15		SGF::ComponentBuffer<EnergyShieldComponent>	SGF::ComponentBuffer<EnergyShieldComponent>: SGF::ComponentBufferBase;
014C785C	15		SGF::ComponentBuffer<EndingMcGuffinComponent>	SGF::ComponentBuffer<EndingMcGuffinComponent>: SGF::ComponentBufferBase;
014C7810	15		SGF::ComponentBuffer<ElectricitySourceComponent>	SGF::ComponentBuffer<ElectricitySourceComponent>: SGF::ComponentBufferBase;
014C77C4	15		SGF::ComponentBuffer<ElectricityReceiverComponent>	SGF::ComponentBuffer<ElectricityReceiverComponent>: SGF::ComponentBufferBase;
014C7778	15		SGF::ComponentBuffer<ElectricityComponent>	SGF::ComponentBuffer<ElectricityComponent>: SGF::ComponentBufferBase;
014C772C	15		SGF::ComponentBuffer<ElectricChargeComponent>	SGF::ComponentBuffer<ElectricChargeComponent>: SGF::ComponentBufferBase;
014C76E0	15		SGF::ComponentBuffer<DrugEffectComponent>	SGF::ComponentBuffer<DrugEffectComponent>: SGF::ComponentBufferBase;
014C7694	15		SGF::ComponentBuffer<DroneLauncherComponent>	SGF::ComponentBuffer<DroneLauncherComponent>: SGF::ComponentBufferBase;
014C7648	15		SGF::ComponentBuffer<DieIfSpeedBelowComponent>	SGF::ComponentBuffer<DieIfSpeedBelowComponent>: SGF::ComponentBufferBase;
014C75FC	15		SGF::ComponentBuffer<DebugSpatialVisualizerComponent>	SGF::ComponentBuffer<DebugSpatialVisualizerComponent>: SGF::ComponentBufferBase;
014C75B0	15		SGF::ComponentBuffer<DebugLogMessagesComponent>	SGF::ComponentBuffer<DebugLogMessagesComponent>: SGF::ComponentBufferBase;
014C7564	15		SGF::ComponentBuffer<DebugFollowMouseComponent>	SGF::ComponentBuffer<DebugFollowMouseComponent>: SGF::ComponentBufferBase;
014C7518	15		SGF::ComponentBuffer<DamageNearbyEntitiesComponent>	SGF::ComponentBuffer<DamageNearbyEntitiesComponent>: SGF::ComponentBufferBase;
014B3768	15		SGF::ComponentBuffer<DamageModelComponent>	SGF::ComponentBuffer<DamageModelComponent>: SGF::ComponentBufferBase;
014C7434	15		SGF::ComponentBuffer<CrawlerAnimalComponent>	SGF::ComponentBuffer<CrawlerAnimalComponent>: SGF::ComponentBufferBase;
014C6D1C	15		SGF::ComponentBuffer<ControlsComponent>	SGF::ComponentBuffer<ControlsComponent>: SGF::ComponentBufferBase;
014C73E8	15		SGF::ComponentBuffer<ControllerGoombaAIComponent>	SGF::ComponentBuffer<ControllerGoombaAIComponent>: SGF::ComponentBufferBase;
014C739C	15		SGF::ComponentBuffer<ConsumableTeleportComponent>	SGF::ComponentBuffer<ConsumableTeleportComponent>: SGF::ComponentBufferBase;
014C7350	15		SGF::ComponentBuffer<CollisionTriggerComponent>	SGF::ComponentBuffer<CollisionTriggerComponent>: SGF::ComponentBufferBase;
014C7304	15		SGF::ComponentBuffer<CharacterStatsComponent>	SGF::ComponentBuffer<CharacterStatsComponent>: SGF::ComponentBufferBase;
014B0038	15		SGF::ComponentBuffer<CharacterPlatformingComponent>	SGF::ComponentBuffer<CharacterPlatformingComponent>: SGF::ComponentBufferBase;
014CB2FC	15		SGF::ComponentBuffer<CharacterDataComponent>	SGF::ComponentBuffer<CharacterDataComponent>: SGF::ComponentBufferBase;
014C726C	15		SGF::ComponentBuffer<CharacterCollisionComponent>	SGF::ComponentBuffer<CharacterCollisionComponent>: SGF::ComponentBufferBase;
014C7220	15		SGF::ComponentBuffer<CellEaterComponent>	SGF::ComponentBuffer<CellEaterComponent>: SGF::ComponentBufferBase;
014C71D4	15		SGF::ComponentBuffer<CameraBoundComponent>	SGF::ComponentBuffer<CameraBoundComponent>: SGF::ComponentBufferBase;
014C716C	15		SGF::ComponentBuffer<BuildingUIComponent>	SGF::ComponentBuffer<BuildingUIComponent>: SGF::ComponentBufferBase;
014C7120	15		SGF::ComponentBuffer<BossDragonComponent>	SGF::ComponentBuffer<BossDragonComponent>: SGF::ComponentBufferBase;
014C70D4	15		SGF::ComponentBuffer<BookComponent>	SGF::ComponentBuffer<BookComponent>: SGF::ComponentBufferBase;
014C7088	15		SGF::ComponentBuffer<BlackHoleComponent>	SGF::ComponentBuffer<BlackHoleComponent>: SGF::ComponentBufferBase;
014C6EE4	15		SGF::ComponentBuffer<AudioLoopComponent>	SGF::ComponentBuffer<AudioLoopComponent>: SGF::ComponentBufferBase;
014C703C	15		SGF::ComponentBuffer<AudioListenerComponent>	SGF::ComponentBuffer<AudioListenerComponent>: SGF::ComponentBufferBase;
014C6E98	15		SGF::ComponentBuffer<AudioComponent>	SGF::ComponentBuffer<AudioComponent>: SGF::ComponentBufferBase;
014C6FF0	15		SGF::ComponentBuffer<AreaDamageComponent>	SGF::ComponentBuffer<AreaDamageComponent>: SGF::ComponentBufferBase;
014C6F58	15		SGF::ComponentBuffer<ArcComponent>	SGF::ComponentBuffer<ArcComponent>: SGF::ComponentBufferBase;
014C6CD0	15		SGF::ComponentBuffer<AnimalAIComponent>	SGF::ComponentBuffer<AnimalAIComponent>: SGF::ComponentBufferBase;
014C6C34	15		SGF::ComponentBuffer<AltarComponent>	SGF::ComponentBuffer<AltarComponent>: SGF::ComponentBufferBase;
014C6B50	15		SGF::ComponentBuffer<AdvancedFishAIComponent>	SGF::ComponentBuffer<AdvancedFishAIComponent>: SGF::ComponentBufferBase;
014C6884	15		SGF::ComponentBuffer<AbilityComponent>	SGF::ComponentBuffer<AbilityComponent>: SGF::ComponentBufferBase;
014C6B9C	15		SGF::ComponentBuffer<AIComponent>	SGF::ComponentBuffer<AIComponent>: SGF::ComponentBufferBase;
014C6BE8	15		SGF::ComponentBuffer<AIAttackComponent>	SGF::ComponentBuffer<AIAttackComponent>: SGF::ComponentBufferBase;
014980A0	14		SGF::Component	SGF::Component: ceng::IConfigBase;
01498094	1		SGF::AutoDeleter	SGF::AutoDeleter: 
014E86C0	7	M	RunFunctionWithInitsCalled	RunFunctionWithInitsCalled: poro::DefaultApplication, poro::IApplication, poro::IMouseListener, poro::IKeyboardListener;
014E86E8	4	M	RunFunctionWithInitsCalled	poro::IMouseListener: poro::IKeyboardListener;
014E8700	3	M	RunFunctionWithInitsCalled	poro::IKeyboardListener: 
014E8714	7	M	RunBreakDownAPixelScene	RunBreakDownAPixelScene: poro::DefaultApplication, poro::IApplication, poro::IMouseListener, poro::IKeyboardListener;
014E873C	4	M	RunBreakDownAPixelScene	poro::IMouseListener: poro::IKeyboardListener;
014E8754	3	M	RunBreakDownAPixelScene	poro::IKeyboardListener: 
014C397C	21	M	RotateTowardsSystem	RotateTowardsSystem: ComponentUpdator<RotateTowardsComponent,RotateTowardsSystem,0>, SGF::ComponentUpdatorBase, SGF::IEventListener;
014C39E8	2	M	RotateTowardsSystem	SGF::IEventListener: 
014C3840	14		RotateTowardsComponent	RotateTowardsComponent: SGF::Component, ceng::IConfigBase;
014DF710	27		ReplayFrameSprite	ReplayFrameSprite: as::Sprite, as::DisplayObjectContainer, as::EventDispatcher, as::Object;
014C37C4	21	M	RainEmitterSystem	RainEmitterSystem: ComponentUpdator<RainEmitterComponent,RainEmitterSystem,0>, SGF::ComponentUpdatorBase, SGF::IEventListener;
014C3830	2	M	RainEmitterSystem	SGF::IEventListener: 
014C36B4	14		RainEmitterComponent	RainEmitterComponent: SGF::Component, ceng::IConfigBase;
014A3148	21	M	ProjectileSystem	ProjectileSystem: ComponentUpdator<ProjectileComponent,ProjectileSystem,0>, SGF::ComponentUpdatorBase, SGF::IEventListener, MessageListener<ProjectileComponent,Message_ThrowItem>, IMessageHandler<Message_ThrowItem>;
014A31B4	2	M	ProjectileSystem	SGF::IEventListener: MessageListener<ProjectileComponent,Message_ThrowItem>, IMessageHandler<Message_ThrowItem>;
014A31C4	3	M	ProjectileSystem	MessageListener<ProjectileComponent,Message_ThrowItem>: IMessageHandler<Message_ThrowItem>;
0149F034	14		ProjectileComponent	ProjectileComponent: SGF::Component, ceng::IConfigBase;
014DCF44	27		ProfilerBars	ProfilerBars: as::Sprite, as::DisplayObjectContainer, as::EventDispatcher, as::Object;
014C318C	21	M	PressurePlateSystem	PressurePlateSystem: ComponentUpdator<PressurePlateComponent,PressurePlateSystem,0>, SGF::ComponentUpdatorBase, SGF::IEventListener;
014C31F8	2	M	PressurePlateSystem	SGF::IEventListener: 
014C2FDC	14		PressurePlateComponent	PressurePlateComponent: SGF::Component, ceng::IConfigBase;
